"URL to copy into your PayZen Back Office > Settings > Notification rules.<br />In multistore mode, notification URL is the same for all the stores.","URL to copy into your PayZen Back Office > Settings > Notification rules.<br />In multistore mode, notification URL is the same for all the stores."
"REST API KEYS","REST API KEYS"
"Configure this section if you are using order operations from Magento Back Office or if you are using &laquo; Embedded payment fields &raquo; mode. <br />REST API keys are available in your PayZen Back Office (menu: Settings > Shops > REST API keys).","Configure this section if you are using order operations from Magento Back Office or if you are using &laquo; Embedded payment fields &raquo; mode. <br />REST API keys are available in your PayZen Back Office (menu: Settings > Shops > REST API keys)."
"Test password","Test password"
"Production password","Production password"
"Public test key","Public test key"
"Public production key","Public production key"
"HMAC-SHA-256 test key","HMAC-SHA-256 test key"
"HMAC-SHA-256 production key","HMAC-SHA-256 production key"
"REST API Notification URL","REST API Notification URL"
"REST API server URL","REST API server URL"
"JavaScript client URL","JavaScript client URL"
"PAYMENT PAGE","PAYMENT PAGE"
"Default Language","Default Language"
"Default language on the payment page.","Default language on the payment page."
"French","French"
"German","German"
"English","English"
"Spanish","Spanish"
"Chinese","Chinese"
"Italian","Italian"
"Japanese","Japanese"
"Portuguese","Portuguese"
"Dutch","Dutch"
"Swedish","Swedish"
"Russian","Russian"
"Polish","Polish"
"Turkish","Turkish"
"Available languages","Available languages"
"Languages available on the payment page. If you do not select any, all the supported languages will be available.","Languages available on the payment page. If you do not select any, all the supported languages will be available."
"Capture delay","Capture delay"
"The number of days before the bank capture (adjustable in your PayZen Back Office).","The number of days before the bank capture (adjustable in your PayZen Back Office)."
"Validation mode","Validation mode"
"If manual is selected, you will have to confirm payments manually in your PayZen Back Office.","If manual is selected, you will have to confirm payments manually in your PayZen Back Office."
"PayZen general configuration","PayZen general configuration"
"PayZen Back Office configuration","PayZen Back Office configuration"
"Automatic","Automatic"
"Manual","Manual"
"Card Types","Card Types"
"The card type(s) that can be used for the payment. Select none to use gateway configuration.","The card type(s) that can be used for the payment. Select none to use gateway configuration."
"ALL","ALL"
"Category mapping","Category mapping"
"Use the same category for all products.","Use the same category for all products."
"(Use category mapping below)","(Use category mapping below)"
"Food and grocery","Food and grocery"
"Automotive","Automotive"
"Entertainment","Entertainment"
"Home and garden","Home and garden"
"Home appliance","Home appliance"
"Auction and group buying","Auction and group buying"
"Flowers and gifts","Flowers and gifts"
"Computer and software","Computer and software"
"Health and beauty","Health and beauty"
"Service for individual","Service for individual"
"Service for business","Service for business"
"Sports","Sports"
"Clothing and accessories","Clothing and accessories"
"Travel","Travel"
"Home audio, photo, video","Home audio, photo, video"
"Telephony","Telephony"
"Magento category","Magento category"
"PayZen category","PayZen category"
"Match each product category with a PayZen category.<b>Entries marked with * are newly added and must be configured.</b>","Match each product category with a PayZen category.<b>Entries marked with * are newly added and must be configured.</b>"
"PAYMENT PAGE CUSTOMIZE","PAYMENT PAGE CUSTOMIZE"
"Theme configuration","Theme configuration"
"The theme configuration to customize the payment page.","The theme configuration to customize the payment page."
"Shop name","Shop name"
"Shop name to display on the payment page. Leave blank to use gateway configuration.","Shop name to display on the payment page. Leave blank to use gateway configuration."
"Shop URL","Shop URL"
"Shop URL to display on the payment page. Leave blank to use gateway configuration.","Shop URL to display on the payment page. Leave blank to use gateway configuration."
"SELECTIVE 3DS","SELECTIVE 3DS"
"Disable 3DS by customer group","Disable 3DS by customer group"
"Amount below which 3DS will be disabled for each customer group. Needs subscription to selective 3DS option. For more information, refer to the module documentation.","Amount below which 3DS will be disabled for each customer group. Needs subscription to selective 3DS option. For more information, refer to the module documentation."
"RETURN TO SHOP","RETURN TO SHOP"
"Automatic redirection","Automatic redirection"
"If enabled, the buyer is automatically redirected to your site at the end of the payment.","If enabled, the buyer is automatically redirected to your site at the end of the payment."
"Redirection timeout on success","Redirection timeout on success"
"Time in seconds (0-300) before the buyer is automatically redirected to your website after a successful payment.","Time in seconds (0-300) before the buyer is automatically redirected to your website after a successful payment."
"Redirection message on success","Redirection message on success"
"Message displayed on the payment page prior to redirection after a successful payment.","Message displayed on the payment page prior to redirection after a successful payment."
"Redirection timeout on failure","Redirection timeout on failure"
"Time in seconds (0-300) before the buyer is automatically redirected to your website after a declined payment.","Time in seconds (0-300) before the buyer is automatically redirected to your website after a declined payment."
"Redirection message on failure","Redirection message on failure"
"Message displayed on the payment page prior to redirection after a declined payment.","Message displayed on the payment page prior to redirection after a declined payment."
"Return mode","Return mode"
"Method that will be used for transmitting the payment result from the payment page to your shop.","Method that will be used for transmitting the payment result from the payment page to your shop."
"GET (parameters in the URL)","GET (parameters in the URL)"
"POST (form)","POST (form)"
"Registered orders status","Registered orders status"
"Status of orders when payment is successfull.","Status of orders when payment is successfull."
"Invoice creation","Invoice creation"
"Automatically create invoice when payment is successfull.","Automatically create invoice when payment is successfull and order is in &laquo; Processing &raquo; state."
"ADDITIONAL OPTIONS","ADDITIONAL OPTIONS"
"Send shopping cart details","Send shopping cart details"
"If you disable this option, the shopping cart details will not be sent to the gateway. Attention, in some cases, this option has to be enabled. For more information, refer to the module documentation.","If you disable this option, the shopping cart details will not be sent to the gateway. Attention, in some cases, this option has to be enabled. For more information, refer to the module documentation."
"Shipping options","Shipping options"
"Define the PayZen information about the used shipping methods.<br /><b>Name: </b>The name of the shipping method (use 127 alphanumeric characters, accentuated characters and these special characters: space, slash, hyphen, apostrophe).<br /><b>Type: </b>The carrier type.<br /><b>Rapidity: </b>Select the delivery rapidity.<br /><b>Delay: </b>Select the delivery delay if rapidity is &laquo; Priority &raquo;.<br /><b>Entries marked with * are newly added and must be configured.</b>","Define the PayZen information about the used shipping methods.<br /><b>Name: </b>The name of the shipping method (use 127 alphanumeric characters, accentuated characters and these special characters: space, slash, hyphen, apostrophe).<br /><b>Type: </b>The carrier type.<br /><b>Rapidity: </b>Select the delivery rapidity.<br /><b>Delay: </b>Select the delivery delay if rapidity is &laquo; Priority &raquo;.<br /><b>Entries marked with * are newly added and must be configured.</b>"
"Method title","Method title"
"Name","Name"
"Type","Type"
"Delivery company","Delivery company"
"Reclaim in shop","Reclaim in shop"
"Relay point","Relay point"
"Reclaim in station","Reclaim in station"
"Rapidity","Rapidity"
"Standard","Standard"
"Express","Express"
"Priority","Priority"
"Delay","Delay"
"<= 1 hour","<= 1 hour"
"> 1 hour","> 1 hour"
"Immediate","Immediate"
"24/7","24/7"
"DISPLAY OPTIONS","DISPLAY OPTIONS"
"Activation","Activation"
"Enables / disables this payment method.","Enables / disables this payment method."
"Yes","Yes"
"No","No"
"Sort order","Sort order"
"In the payment methods list.","In the payment methods list."
"Method title","Method title"
"Method title to display on payment means page.","Method title to display on payment means page."
"Logo","Logo"
"Allowed file types: jpeg, gif, png.","Allowed file types: jpeg, gif, png."
"RESTRICTIONS","RESTRICTIONS"
"Restrict to some countries","Restrict to some countries"
"Buyer's billing in which this payment method method is available.","Buyer's billing in which this payment method method is available."
"All Allowed Countries","All Allowed Countries"
"Specific Countries","Specific Countries"
"Authorized countries","Authorized countries"
"Restrict to some customer groups","Restrict to some customer groups"
"Customer group","Customer group"
"Minimum amount","Minimum amount"
"Maximum amount","Maximum amount"
"Define minimum and maximum amounts to activate this payment method by customer group.","Define minimum and maximum amounts to activate this payment method by customer group."
"ALL GROUPS","ALL GROUPS"
"The number of days before the bank capture. Enter value only if different from PayZen general configuration.","The number of days before the bank capture. Enter value only if different from PayZen general configuration."
"Propose FacilyPay Oney (Deprecated)","Propose FacilyPay Oney (Deprecated)"
"Select &laquo; Yes &raquo; if you want to propose FacilyPay Oney in standard payment. Attention, you must ensure that you have a FacilyPay Oney contract.","Select &laquo; Yes &raquo; if you want to propose FacilyPay Oney in standard payment. Attention, you must ensure that you have a FacilyPay Oney contract."
"ADVANCED OPTIONS","ADVANCED OPTIONS"
"Card data entry mode","Mode de saisie des données de la carte"
"Select how the credit card information will be entered. Attention, to use embedded payment fields, you must ensure that you have subscribed to this option with PayZen.", "Select how the credit card information will be entered. Attention, to use embedded payment fields, you must ensure that you have subscribed to this option with PayZen."
"Bank data acquisition on payment gateway","Bank data acquisition on payment gateway"
"Card type selection on merchant site","Card type selection on merchant site"
"Payment page integrated to checkout process (iframe mode)","Payment page integrated to checkout process (iframe mode)"
"Embedded payment fields on merchant site (REST API)","Embedded payment fields on merchant site (REST API)"
"Embedded payment fields in a pop-in (REST API)","Embedded payment fields in a pop-in (REST API)"
"REST API SETTINGS","REST API SETTINGS"
"EMBEDDED PAYMENT FIELDS CUSTOMIZATION","EMBEDDED PAYMENT FIELDS CUSTOMIZATION"
"Theme","Theme"
"Select a theme to use to display embedded payment fields. For more customization, you can edit module template manually.","Select a theme to use to display embedded payment fields. For more customization, you may edit module template manually."
"Custom fields placeholders","Custom fields placeholders"
"Field","Field"
"Placeholder","Placeholder"
"Texts to use as placeholders for embedded payment fields.","Texts to use as placeholders for embedded payment fields."
"Payment attempts number","Payment attempts number"
"Maximum number of payment retries after a failed payment (between 0 and 9). If blank, the gateway default value is 3.","Maximum number of payment retries after a failed payment (between 0 and 9). If blank, the gateway default value is 3."
"Payment by token","Payment by token"
"The payment by token allows to pay orders without re-entering bank data at each payment. The &laquo; payment by token &raquo; option should be enabled on your PayZen store to use this feature.","The payment by token allows to pay orders without re-entering bank data at each payment. The &laquo; payment by token &raquo; option should be enabled on your PayZen store to use this feature."
"1-Click button text","1-Click button text"
"The text to display on the PayZen 1-Click payment button.","The text to display on the PayZen 1-Click payment button."
"1-Click button location","1-Click button location"
"Select where to display PayZen 1-Click payment button.","Select where to display PayZen 1-Click payment button."
"Product page","Product page"
"Cart page","Cart page"
"Product and cart pages","Product and cart pages"
"Card data registration mode","Card data registration mode"
"Select how you want to propose card data registration on your website.","Select how you want to propose card data registration on your website."
"Card data registration message","Card data registration message"
"Message displayed on your website to invite buyers to register their card data.","Message displayed on your website to invite buyers to register their card data."
"Registration on by default","Registration on by default"
"Registration off by default","Registration off by default"
"Registration always on","Registration always on"
"ATTENTION: The payment in installments feature activation is subject to the prior agreement of Société Générale.<br />If you enable this feature while you have not the associated option, an error 10000 – INSTALLMENTS_NOT_ALLOWED or 07 - PAYMENT_CONFIG will occur and the buyer will not be able to pay.","ATTENTION: The payment in installments feature activation is subject to the prior agreement of Société Générale.<br />If you enable this feature while you have not the associated option, an error 10000 – INSTALLMENTS_NOT_ALLOWED or 07 - PAYMENT_CONFIG will occur and the buyer will not be able to pay."
"Card type selection","Card type selection"
"Select where the card type will be selected by the buyer.","Select where the card type will be selected by the buyer."
"On payment gateway","On payment gateway"
"On merchant site","On merchant site"
"PAYMENT OPTIONS","PAYMENT OPTIONS"
"Payment options","Payment options"
"Click on &laquo; Add &raquo; button to configure one or more payment options.<br /><b>Label: </b>The option label to display on the frontend.<br /><b>Min. amount: </b>Minimum amount to enable the payment option.<br /><b>Max. amount: </b>Maximum amount to enable the payment option.<br /><b>Contract: </b>ID of the contract to use with the option.<br /><b>Count: </b>Total number of installments.<br /><b>Period: </b>Delay (in days) between installments.<br /><b>1st installment: </b>Amount of first installment, in percentage of total amount. If empty, all installments will have the same amount.","Click on &laquo; Add &raquo; button to configure one or more payment options.<br /><b>Label: </b>The option label to display on the frontend.<br /><b>Min. amount: </b>Minimum amount to enable the payment option.<br /><b>Max. amount: </b>Maximum amount to enable the payment option.<br /><b>Contract: </b>ID of the contract to use with the option.<br /><b>Count: </b>Total number of installments.<br /><b>Period: </b>Delay (in days) between installments.<br /><b>1st installment: </b>Amount of first installment, in percentage of total amount. If empty, all installments will have the same amount."
"Add","Add"
"Delete","Delete"
"Label","Label"
"Min. amount","Min. amount"
"Max. amount","Max. amount"
"Contract","Contract"
"Count","Count"
"Period","Period"
"1st installment","1st installment"
"Gift card types","Gift card types"
"Select the gift card types that can be used for the payment.","Select the gift card types that can be used for the payment."
"Add cards","Add cards"
"Click on button to add one or more new gift cards.<b>Card code: </b>The PayZen exact gift card code.<b>Card label: </b>The label of the new gift card.<b>Card logo: </b>The gift card logo to display on payment method selection page.","Click on button to add one or more new gift cards.<b>Card code: </b>The PayZen exact gift card code.<b>Card label: </b>The label of the new gift card.<b>Card logo: </b>The gift card logo to display on payment method selection page."
"Card code","Card code"
"Card label","Card label"
"Card logo","Card logo"
"The number of days before the bank capture. Enter value only if different from PayZen general configuration. This setting is considered only if the buyer uses another CC to complete the payment.","The number of days before the bank capture. Enter value only if different from PayZen general configuration. This setting is considered only if the buyer uses another CC to complete the payment."
"If manual is selected, you will have to confirm payments manually in your PayZen Back Office. This setting is considered only if the buyer uses another CC to complete the payment.","If manual is selected, you will have to confirm payments manually in your PayZen Back Office. This setting is considered only if the buyer uses another CC to complete the payment."
"Enable options selection","Enable options selection"
"Enable payment options selection on merchant site.","Enable payment options selection on merchant site."
"Click on Add button to configure one or more payment options.<br /><b>Label: </b>The option label to display on the frontend (the %c and %r patterns will be respectively replaced by payments count and option rate).<br /><b>Code: </b>The option code as defined in your FacilyPay Oney contract.<br /><b>Min. amount: </b>Minimum amount to enable the payment option.<br /><b>Max. amount: </b>Maximum amount to enable the payment option.<br /><b>Count: </b>Total number of payments.<br /><b>Rate: </b>The interest rate in percentage.","Click on Add button to configure one or more payment options.<br /><b>Label: </b>The option label to display on the frontend (the %c and %r patterns will be respectively replaced by payments count and option rate).<br /><b>Code: </b>The option code as defined in your FacilyPay Oney contract.<br /><b>Min. amount: </b>Minimum amount to enable the payment option.<br /><b>Max. amount: </b>Maximum amount to enable the payment option.<br /><b>Count: </b>Total number of payments.<br /><b>Rate: </b>The interest rate in percentage."
"Click on Add button to configure one or more payment options.<br /><b>Label: </b>The option label to display on the frontend (the %c and %r patterns will be respectively replaced by payments count and option rate).<br /><b>Code: </b>The option code as defined in your Oney contract.<br /><b>Min. amount: </b>Minimum amount to enable the payment option.<br /><b>Max. amount: </b>Maximum amount to enable the payment option.<br /><b>Count: </b>Total number of payments.<br /><b>Rate: </b>The interest rate in percentage.","Click on Add button to configure one or more payment options.<br /><b>Label: </b>The option label to display on the frontend (the %c and %r patterns will be respectively replaced by payments count and option rate).<br /><b>Code: </b>The option code as defined in your Oney contract.<br /><b>Min. amount: </b>Minimum amount to enable the payment option.<br /><b>Max. amount: </b>Maximum amount to enable the payment option.<br /><b>Count: </b>Total number of payments.<br /><b>Rate: </b>The interest rate in percentage."
"Rate","Rate"
"Code","Code"
"Use Default","Use Default"
"Use Website","Use Website"
"Configure Choozeo payment options.","Configure Choozeo payment options."
"Configure Full CB payment options.<br /><b>Label: </b>The option label to display on the frontend.<br /><b>Min amount: </b>Minimum amount to enable the payment option.<br /><b>Max amount: </b>Maximum amount to enable the payment option.<br /><b>Rate: </b>The interest rate in percentage.<br /><b>Cap: </b>Maximum fees amount of payment option.","Configure Full CB payment options.<br /></b>The option label to display on the frontend.<br /><b>Min amount: </b>Minimum amount to enable the payment option.<br /><b>Max amount: </b>Maximum amount to enable the payment option.<br /><b>Rate: </b>The interest rate in percentage.<br /><b>Cap: </b>Maximum fees amount of payment option."
"Payment in %s times","Payment in %s times"
"Cap","Cap"
"SEPA direct debit mode","SEPA direct debit mode"
"Select SEPA direct debit mode. Attention, the two last choices require the payment by token option on PayZen.","Select SEPA direct debit mode. Attention, the two last choices require the payment by token option on PayZen."
"One-off SEPA direct debit","One-off SEPA direct debit"
"Register a recurrent SEPA mandate with direct debit","Register a recurrent SEPA mandate with direct debit"
"Register a recurrent SEPA mandate without direct debit","Register a recurrent SEPA mandate without direct debit"
"Method title to display on payment means page. Used only if &laquo; Regroup payment means &raquo; option is enabled.","Method title to display on payment means page. Used only if &laquo; Regroup payment means &raquo; option is enabled."
"Allowed file types: jpeg, gif, png. Used only if &laquo; Regroup payment means &raquo; option is enabled.","Allowed file types: jpeg, gif, png. Used only if &laquo; Regroup payment means &raquo; option is enabled."
"Regroup payment means","Regroup payment means"
"If this option is enabled, all the payment means added in this section will be displayed within the same payment submodule.", "If this option is enabled, all the payment means added in this section will be displayed within the same payment submodule."
"Payment means","Payment means"
"Countries","Countries"
"Capture delay", "Délai de remise"
"Cart data", "Données panier"
"Click on &laquo; Add &raquo; button to configure one or more payment means.<br /><b>Label: </b>The label of the means of payment to display on your site.<br /><b>Means of payment: </b>Choose the means of payment you want to propose.<br /><b>Countries: </b>Countries where the means of payment will be available. Leave blank to authorize all countries.<br /><b>Min. amount: </b>Minimum amount to enable the means of payment.<br /><b>Max. amount: </b>Maximum amount to enable the means of payment.<br /><b>Capture delay: </b>The number of days before the bank capture. Enter value only if different from PayZen general configuration.<br /><b>Validation mode: </b>If manual is selected, you will have to confirm payments manually in your PayZen Back Office.<br /><b>Cart data: </b>If you disable this option, the shopping cart details will not be sent to the gateway. Attention, in some cases, this option has to be enabled. For more information, refer to the module documentation."","Click on &laquo; Add &raquo; button to configure one or more payment means.<br /><b>Label: </b>The label of the means of payment to display on your site.<br /><b>Means of payment: </b>Choose the means of payment you want to propose.<br /><b>Countries: </b>Countries where the means of payment will be available. Leave blank to authorize all countries.<br /><b>Min. amount: </b>Minimum amount to enable the means of payment.<br /><b>Max. amount: </b>Maximum amount to enable the means of payment.<br /><b>Capture delay: </b>The number of days before the bank capture. Enter value only if different from PayZen general configuration.<br /><b>Validation mode: </b>If manual is selected, you will have to confirm payments manually in your PayZen Back Office.<br /><b>Cart data: </b>If you disable this option, the shopping cart details will not be sent to the gateway. Attention, in some cases, this option has to be enabled. For more information, refer to the module documentation.""
"Payment with %s","Payment with %s"

"Payment by credit card","Payment by credit card"
"Payment by credit card in installments","Payment by credit card in installments"
"Payment by gift card","Payment by gift card"
"Payment with Choozeo without fees","Payment with Choozeo without fees"
"Payment with FacilyPay Oney","Payment with FacilyPay Oney"
"Payment in 3 or 4 times Oney","Payment in 3 or 4 times Oney"
"Payment with PayPal","Payment with PayPal"
"Payment with SOFORT Banking","Payment with SOFORT Banking"
"Payment with PostFinance","Payment with PostFinance"
"Payment with Giropay","Payment with Giropay"
"Payment with iDEAL","Payment with iDEAL"
"Payment with SEPA","Payment with SEPA"
"Payment with Full CB","Other payment means"
"Other payment means","Autres moyens de paiement"
"Check this box to register your card data and to do payments in one click. <b>Card data will be stored on the secured server of the payment gateway.</b>","Check this box to register your card data and to do payments in one click. <b>Card data will be stored on the secured server of the payment gateway.</b>"
"Redirection to shop in a few seconds...","Redirection to shop in a few seconds..."

"Are you sure you want to reset all PayZen configuration?","Are you sure you want to reset all PayZen configuration?"
"The configuration of the PayZen module has been successfully reset.","The configuration of the PayZen module has been successfully reset."
"The field &laquo; %s &raquo; is invalid: please check column &laquo; %s &raquo; of the option %s in section &laquo; %s &raquo;.","The field &laquo; %s &raquo; is invalid: please check column &laquo; %s &raquo; of the option %s in section &laquo; %s &raquo;."
"Invalid value for field &laquo; %s &raquo; in section &laquo; %s &raquo;.","Invalid value for field &laquo; %s &raquo; in section &laquo; %s &raquo;."
"The field &laquo; %s &raquo; is required for section &laquo; %s &raquo;.","The field &laquo; %s &raquo; is required for section &laquo; %s &raquo;."
"Too many card types are selected.","Too many card types are selected."
"Please configure &laquo; ADDITIONAL OPTIONS &raquo; part of &laquo; PayZen &raquo; section.","Please configure &laquo; ADDITIONAL OPTIONS &raquo; part of &laquo; PayZen &raquo; section."
"Please enter a value for &laquo; ALL GROUPS - %s &raquo; in &laquo; %s &raquo; section as agreed with your bank.","Please enter a value for &laquo; ALL GROUPS - %s &raquo; in &laquo; %s &raquo; section as agreed with your bank."
"Customer ID &laquo; %s &raquo; does not match PayZen specifications.","Customer ID &laquo; %s &raquo; does not match PayZen specifications."
"Product reference &laquo; %s &raquo; does not match PayZen specifications.","Product reference &laquo; %s &raquo; does not match PayZen specifications."
"The next order ID  &laquo; %s &raquo; does not match PayZen specifications.","The next order ID  &laquo; %s &raquo; does not match PayZen specifications."
"This field must agree to the regular expression %s.","This field must agree to the regular expression %s."
"FacilyPay Oney means of payment cannot be used.","FacilyPay Oney means of payment cannot be used."
"Payment in 3 or 4 times Oney cannot be used.","Payment in 3 or 4 times Oney cannot be used"
"Gift card logos cannot be uploaded. See module logs for more details.","Gift card logos cannot be uploaded. See module logs for more details."
"Warning, please increase the suhosin patch for PHP post and request limits to save module configurations correctly. Recommended value is %s.","Warning, please increase the suhosin patch for PHP post and request limits to save module configurations correctly. Recommended value is %s."
"Warning, please increase the value of the max_input_vars directive in php.ini to save module configurations correctly. Recommended value is %s.","Warning, please increase the value of the max_input_vars directive in php.ini to save module configurations correctly. Recommended value is %s."
"Use 127 alphanumeric characters, accentuated characters and these special characters: space, slash, hyphen, apostrophe.","Use 127 alphanumeric characters, accentuated characters and these special characters: space, slash, hyphen, apostrophe."

"Payment Method","Payment Method"
"Sequence Number","Sequence Number"
"Transaction Type","Transaction Type"
"Amount","Amount"
"Transaction ID","Transaction ID"
"Transaction UUID","Transaction UUID"
"Extra Transaction ID","Extra Transaction ID"
"Transaction Status","Transaction Status"
"Means of Payment","Means of Payment"
"(card brand chosen by buyer)","(card brand chosen by buyer)"
"(default card brand used)","(default card brand used)"
"Card Number","Card Number"
"Expiration Date","Expiration Date"
"3DS Authentication","3DS Authentication"
"3DS Certificate","3DS Certificate"
"Authentication Type","Authentication Type"
"Fraud Control Result","Fraud Control Result"
"Advanced Risk Assessment Result","Advanced Risk Assessment Result"

"Authentication error !","Erreur d'authentification !"
"You are not authorized to do this action online. Please, consider updating the payment in PayZen Back Office.","You are not authorized to do this action online. Please, consider updating the payment in PayZen Back Office."
"SOAP extension for PHP must be enabled on the server in order to use PayZen web services.","SOAP extension for PHP must be enabled on the server in order to use PayZen web services."
"OPENSSL extension for PHP must be enabled on the server in order to use PayZen web services.","OPENSSL extension for PHP must be enabled on the server in order to use PayZen web services."
"Please correct this error to use PayZen web services.","Please correct this error to use PayZen web services."
"Please correct error to refund payments through PayZen. If you want to refund order in Magento, use the &laquo; Refund Offline &raquo; button.","Please correct error to refund payments through PayZen. If you want to refund order in Magento, use the &laquo; Refund Offline &raquo; button."
"Chargebacks cannot be refunded.","Chargebacks cannot be refunded."
"Are you sure you want to validate this order in PayZen gateway?","Are you sure you want to validate this order in PayZen gateway?"
"Validate payment","Validate payment"
"Payment Review","Payment Review"
"To validate payment","To validate payment"
"Payment validated successfully.","Payment validated successfully."
"Transaction %1 has been validated.","Transaction %1 has been validated."
"Pending funds transfer","Pending funds transfer"
"Please consult the PayZen logs for more details.","Consulte los registros de PayZen para obtener más detalles."

"You will enter payment data after order confirmation.","You will enter payment data after order confirmation."
"Choose your payment option","Choose your payment option"
"Payment option","Payment option"
"Means of payment","Means of payment"
"Choose your means of payment","Choose your means of payment"
"Please do not refresh the page until you complete payment.","Please do not refresh the page until you complete payment."
"Please wait a moment. This page will transfer your data to PayZen payment gateway in a few seconds.","Please wait a moment. This page will transfer your data to PayZen payment gateway in a few seconds."
"If nothing happens in 10 seconds, click the button below.","If nothing happens in 10 seconds, click the button below."
"Please wait a moment. Your order payment is now processing.","Please wait a moment. Your order payment is now processing."
"Send","Send"
"Order not found in session.","Order not found in session."
"Order total is empty.","Order total is empty."
"Order payment already processed.","Order payment already processed."
"Client sent to PayZen gateway.","Client sent to PayZen gateway."
"Email","Email"
"First Name","First Name"
"Last Name","Last Name"
"Civility","Civility"
"Address","Address"
"Postcode","Postcode"
"City","City"
"Country","Country"
"Telephone","Telephone"
"The field %s is required for this means of payment.","The field %s is required for this means of payment."
"The fields %s are required for this means of payment.","The fields %s are required for this means of payment."
"billing address","billing address"
"delivery address","delivery address"
"The field %s of your %s is invalid.","The field %s of your %s is invalid."
"The field %s of your %s is mandatory.","The field %s of your %s is mandatory."
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"Sorry, no quotes are available for this product configuration.","Sorry, no quotes are available for this product configuration."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Cannot pay requested product with &laquo; PayZen Buy now &raquo;.","Cannot pay requested product with &laquo; PayZen Buy now &raquo;."
"Some of the products you requested are unavailable.","Some of the products you requested are unavailable."
"Some of the products you requested are not available in the desired quantity.","Some of the products you requested are not available in the desired quantity."
"-- Please Select --","-- Please Select --"
"Incl. Tax","Incl. Tax"
"Buy now","Buy now"
"CVV","CVV"
"Help?","Help?"
"OR","OR"
"Click here to pay with your registered means of payment.","Click here to pay with your registered means of payment."
"You will pay with your stored means of payment %s","You will pay with your stored means of payment %s"
"Are you sure you want to delete your saved means of payment? This action is not reversible!","Are you sure you want to delete your saved means of payment? This action is not reversible!"
"manage your payment means","manage your payment means"
"My payment means","My payment means"
"You have no stored payment means.","You have no stored payment means."
"The stored means of payment was successfully deleted.","The stored means of payment was successfully deleted."
"The stored means of payment could not be deleted.","The stored means of payment could not be deleted."
"Click here to pay with another means of payment.","Click here to pay with another means of payment."
"Incorrect credit card number.","Incorrect credit card number."
"Incorrect credit card CVV.","Incorrect credit card CVV."
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"Your order total:","Your order total:"
"Debit dates","Debit dates"
"Contribution:","Contribution:"
"Followed by %s installments","Followed by %s installments"
"Installment %s:","Installment %s:"
"Total cost of credit:","Total cost of credit:"
"Funding of %s with a fixed APR of %s %%.","Funding of %s with a fixed APR of %s %%."
"Order amount:","Order amount:"
"Installments","Installments"
"Fees:","Fees:"
"Total amount:","Total amount:"

