"Click on button to add one or more new gift cards. <br /><b>Card code : </b>The PayZen exact gift card code. <br /><b>Card label : </b>The label of the new gift card. <br /><b>Card logo : </b>The gift card logo to display on payment method selection page.","Click on button to add one or more new gift cards. <br /><b>Card code : </b>The PayZen exact gift card code. <br /><b>Card label : </b>The label of the new gift card. <br /><b>Card logo : </b>The gift card logo to display on payment method selection page."
"Card code","Card code"
"Card label","Card label"
"Card logo","Card logo"
"The number of days before the bank capture. Enter value only if different from PayZen general configuration. This setting is considered only if the buyer uses another CC to complete the payment.","The number of days before the bank capture. Enter value only if different from PayZen general configuration. This setting is considered only if the buyer uses another CC to complete the payment."
"If manual is selected, you will have to confirm payments manually in your PayZen Back Office. This setting is considered only if the buyer uses another CC to complete the payment.","If manual is selected, you will have to confirm payments manually in your PayZen Back Office. This setting is considered only if the buyer uses another CC to complete the payment."
"Card type selection","Card type selection"
"Select where card type will be selected by buyer.","Select where card type will be selected by buyer."
"On payment platform","On payment platform"
"On merchant site","On merchant site"
"Enable options selection","Enable options selection"
"Enable payment options selection on merchant site.","Enable payment options selection on merchant site."
"Click on Add button to configure one or more payment options.<br /><b>Label: </b>The option label to display on the frontend (the %c, %r and %a patterns will be respectively replaced by payments count, option rate and option amount).<br /><b>Code: </b>The option code as defined in your FacilyPay Oney contract.<br /><b>Min. amount: </b>Minimum amount to enable the payment option.<br /><b>Max. amount: </b>Maximum amount to enable the payment option.<br /><b>Count: </b>Total number of payments.<br /><b>Rate: </b>The interest rate in percentage.","Click on Add button to configure one or more payment options.<br /><b>Label: </b>The option label to display on the frontend (the %c, %r and %a patterns will be respectively replaced by payments count, option rate and option amount).<br /><b>Code: </b>The option code as defined in your FacilyPay Oney contract.<br /><b>Min. amount: </b>Minimum amount to enable the payment option.<br /><b>Max. amount: </b>Maximum amount to enable the payment option.<br /><b>Count: </b>Total number of payments.<br /><b>Rate: </b>The interest rate in percentage."
"Rate","Rate"
"Code","Code"

"The configuration of the PayZen module has been successfully reset.","The configuration of the PayZen module has been successfully reset."
"The field &laquo;%1&raquo; is invalid: please check column &laquo;%2&raquo; of the option %3 in section &laquo;%4&raquo;.","The field &laquo;%1&raquo; is invalid: please check column &laquo;%2&raquo; of the option %3 in section &laquo;%4&raquo;."
"Invalid value for field &laquo;%1&raquo; in section &laquo;%2&raquo;.","Invalid value for field &laquo;%1&raquo; in section &laquo;%2&raquo;."
"Too many card types are selected.","Too many card types are selected."
"Please configure &laquo;ADDITIONAL OPTIONS&raquo; part of &laquo;PayZen&raquo; section.","Please configure &laquo;ADDITIONAL OPTIONS&raquo; part of &laquo;PayZen&raquo; section."
"Please enter a value for &laquo;ALL GROUPS - %1&raquo; in &laquo;%2&raquo; section as agreed with Banque Accord.","Please enter a value for &laquo;ALL GROUPS - %1&raquo; in &laquo;%2&raquo; section as agreed with Banque Accord."
"Customer ID &laquo;%1&raquo; does not match PayZen specifications.","Customer ID &laquo;%1&raquo; does not match PayZen specifications."
"Product reference &laquo;%1&raquo; does not match PayZen specifications.","Product reference &laquo;%1&raquo; does not match PayZen specifications."
"The next order ID  &laquo;%1&raquo; does not match PayZen specifications.","The next order ID  &laquo;%1&raquo; does not match PayZen specifications."
"This field must agree to the regular expression %1.","This field must agree to the regular expression %1."
"FacilyPay Oney payment mean cannot be used.","FacilyPay Oney payment mean cannot be used."
"PayPal payment mean cannot be used.","PayPal payment mean cannot be used."

"Payment Method","Payment Method"
"Sequence Number","Sequence Number"
"Transaction Type","Transaction Type"
"Amount","Amount"
"Transaction ID","Transaction ID"
"Extra Transaction ID","Extra Transaction ID"
"Transaction Status","Transaction Status"
"Payment Mean","Payment Mean"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Card Number","Card Number"
"3-DS Authentication","3-DS Authentication"
"3-DS Certificate","3-DS Certificate"
"YES","YES"
"NO","NO"
"Fraud Control Result","Fraud Control Result"
"Advanced Risk Assessment Result","Advanced Risk Assessment Result"

"Authentication error !","Authentication error !"
"You are not authorized to do this action online. Please, do not forget to update payment in PayZen Back Office.","You are not authorized to do this action online. Please, do not forget to update payment in PayZen Back Office."
"SOAP extension for PHP must be enabled on the server in order to use PayZen web services.","SOAP extension for PHP must be enabled on the server in order to use PayZen web services."
"OPENSSL extension for PHP must be enabled on the server in order to use PayZen web services.","OPENSSL extension for PHP must be enabled on the server in order to use PayZen web services."
"Refund error","Refund error"
"Please correct error to refund payments through PayZen. If you want to refund order in Magento, use the &laquo;Refund Offline&raquo; button.","Please correct error to refund payments through PayZen. If you want to refund order in Magento, use the &laquo;Refund Offline&raquo; button."
"Cancellation error","Cancellation error"
"An error has occured during the cancellation process.","An error has occured during the cancellation process."
"An error has occured during the payment reveiw process.","An error has occured during the payment reveiw process."
"Are you sure you want to validate this order in PayZen platform ?","Are you sure you want to validate this order in PayZen platform ?"
"Validate payment","Validate payment"
"Payment Review","Payment Review"
"To validate payment","To validate payment"
"Validation error","Validation error"
"Payment validated successfully.","Payment validated successfully."
"An error has occured during the validation process.","An error has occured during the validation process."


"You will enter payment data after order confirmation.","You will enter payment data after order confirmation."
"Pay with PayZen","Pay with PayZen"
"Please do not refresh the page until you complete payment.","Please do not refresh the page until you complete payment."
"Payment platform redirection","Payment platform redirection"
"Please wait a moment. This page will transfer your data to PayZen payment platform in a few seconds.","Please wait a moment. This page will transfer your data to PayZen payment platform in a few seconds."
"If nothing happens in 10 seconds, click the button below.","If nothing happens in 10 seconds, click the button below."
"Please wait a moment. Your order payment is now processing.","Please wait a moment. Your order payment is now processing."
"Send","Send"
"Order not found in session.","Order not found in session."
"Order total is empty.","Order total is empty."
"Order payment already processed.","Order payment already processed."
"Client sent to PayZen platform.","Client sent to PayZen platform."
"CVV","CVV"
"Incorrect credit card number.","Incorrect credit card number."
"Incorrect credit card CVV.","Incorrect credit card CVV."
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"Email","E-mail"
"First Name","First Name"
"Last Name","Last Name"
"Civility","Civility"
"Address","Address"
"Postcode","Postcode"
"City","City"
"Country","Country"
"Telephone","Telephone"
"The field %1 is required for this payment mean.","The field %1 is required for this payment mean."
"The fields %1 are required for this payment mean.","The fields %1 are required for this payment mean."
"billing address","billing address"
"delivery address","delivery address"
"The field %1 of your %2 is invalid.","The field %1 of your %2 is invalid."
"The field %1 of your %2 is mandatory.","The field %1 of your %2 is mandatory."
"OR","OR"
"Click here to pay with your registered card.","Click here to pay with your registered card."
"You will pay with your registered card. No data entry is needed.","You will pay with your registered card. No data entry is needed."
"Click here to pay with another payment mean.","Click here to pay with another payment mean."
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"Sorry, no quotes are available for this product configuration.","Sorry, no quotes are available for this product configuration."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot pay requested product with &laquo;PayZen Buy now&raquo;.","Cannot pay requested product with &laquo;PayZen Buy now&raquo;."
"Some of the products you requested are unavailable.","Some of the products you requested are unavailable."
"Some of the products you requested are not available in the desired quantity.","Some of the products you requested are not available in the desired quantity."

"<p><u>GOING INTO PRODUCTION</u></p>You want to know how to put your shop into production mode, please go to this URL : ","<p><u>GOING INTO PRODUCTION</u></p>You want to know how to put your shop into production mode, please go to this URL : "
"The shop is in maintenance mode.The automatic notification cannot work.","La boutique est en mode maintenance. La validation automatique ne peut fonctionner."
"The automatic validation has not worked. Have you correctly set up the notification URL in your PayZen Back Office ?","The automatic validation has not worked. Have you correctly set up the notification URL in your PayZen Back Office ?"
"For understanding the problem, please read the documentation of the module : <br />&nbsp;&nbsp;&nbsp;- Chapter &laquo;To read carefully before going further&raquo;<br />&nbsp;&nbsp;&nbsp;- Chapter &laquo;Notification URL settings&raquo;","For understanding the problem, please read the documentation of the module : <br />&nbsp;&nbsp;&nbsp;- Chapter &laquo;To read carefully before going further&raquo;<br />&nbsp;&nbsp;&nbsp;- Chapter &laquo;Notification URL settings&raquo;"
"Invoice %1 was created.","Invoice %1 was created."
"Transaction %1 was created.","Transaction %1 was created."
"Transaction %1 was updated.","Transaction %1 was updated."
"Checkout and order have been canceled.","Checkout and order have been canceled."
"The payment was successful. Your order was registered successfully.","The payment was successful. Your order was registered successfully."
"An error has occured during the payment process.","An error has occured during the payment process."
